row_id,case_key,segment,source_family,split_or_use_class,Re,Ri_median,backflow_fraction,reverse_area_fraction,reverse_mass_fraction,pressure_evidence_status,wall_bulk_deltaT_status,wallHeatFlux_status,same_window_consistency_status,mesh_time_uncertainty_status,classification,allowed_use,forbidden_use,ordinary_Nu_fit_allowed,ordinary_f_D_fit_allowed,component_K_fit_allowed,reason,source_path
recirc_feature:hybrid_lane:salt4_hi5q:upcomer_inlet:left_lower_leg,salt4_hi5q,upcomer_inlet,hybrid_lane_policy,hybrid_lane_support,,,,0.5228637749,0.4999749795,partial,missing,missing,partial,missing,not_admissible_missing_same_window_fields,diagnostic_or_future_extraction_queue,ordinary_Nu; ordinary_f_D; component_K,no,no,no,Nu_section_effective_upcomer_diagnostic; apparent_pressure_or_onset_diagnostic,work_products/2026-07/2026-07-15/2026-07-15_pm5_wall_band_vtk_and_f6_unlock_repair/resampled_pm5_matched_plane_metrics.csv
recirc_feature:hybrid_lane:salt4_hi5q:upcomer_mid:test_section_span,salt4_hi5q,upcomer_mid,hybrid_lane_policy,hybrid_lane_support,,,,0.3778960681,0.4999891842,partial,missing,missing,partial,missing,not_admissible_missing_same_window_fields,diagnostic_or_future_extraction_queue,ordinary_Nu; ordinary_f_D; component_K,no,no,no,Nu_section_effective_upcomer_diagnostic; apparent_pressure_or_onset_diagnostic,work_products/2026-07/2026-07-15/2026-07-15_pm5_wall_band_vtk_and_f6_unlock_repair/resampled_pm5_matched_plane_metrics.csv
recirc_feature:hybrid_lane:salt4_hi5q:upcomer_outlet:left_upper_leg,salt4_hi5q,upcomer_outlet,hybrid_lane_policy,hybrid_lane_support,,,,0.7762644,0.5001364439,partial,missing,missing,partial,missing,not_admissible_missing_same_window_fields,diagnostic_or_future_extraction_queue,ordinary_Nu; ordinary_f_D; component_K,no,no,no,Nu_section_effective_upcomer_diagnostic; apparent_pressure_or_onset_diagnostic,work_products/2026-07/2026-07-15/2026-07-15_pm5_wall_band_vtk_and_f6_unlock_repair/resampled_pm5_matched_plane_metrics.csv
recirc_feature:hybrid_lane:salt_2:left_lower_leg__s00->left_upper_leg__s04,salt2_mainline,test_section_complex,hybrid_lane_policy,hybrid_lane_support,,,,0.837962963,,partial,missing,missing,partial,missing,not_admissible_missing_same_window_fields,diagnostic_or_future_extraction_queue,ordinary_Nu; ordinary_f_D; component_K,no,no,no,K_section_effective_recirculating_diagnostic; apparent_pressure_gradient_section_effective_diagnostic,work_products/2026-07/2026-07-15/2026-07-15_lead_closure_qoi_hydraulic_postprocess/raw_two_tap_test_section_complex.csv
recirc_feature:hybrid_lane:salt_3:left_lower_leg__s00->left_upper_leg__s04,salt3_mainline,test_section_complex,hybrid_lane_policy,hybrid_lane_support,,,,0.8302469136,,partial,missing,missing,partial,missing,not_admissible_missing_same_window_fields,diagnostic_or_future_extraction_queue,ordinary_Nu; ordinary_f_D; component_K,no,no,no,K_section_effective_recirculating_diagnostic; apparent_pressure_gradient_section_effective_diagnostic,work_products/2026-07/2026-07-15/2026-07-15_lead_closure_qoi_hydraulic_postprocess/raw_two_tap_test_section_complex.csv
recirc_feature:hybrid_lane:salt_4:left_lower_leg__s00->left_upper_leg__s04,salt4_mainline,test_section_complex,hybrid_lane_policy,hybrid_lane_support,,,,0.8287037037,,partial,missing,missing,partial,missing,not_admissible_missing_same_window_fields,diagnostic_or_future_extraction_queue,ordinary_Nu; ordinary_f_D; component_K,no,no,no,K_section_effective_recirculating_diagnostic; apparent_pressure_gradient_section_effective_diagnostic,work_products/2026-07/2026-07-15/2026-07-15_lead_closure_qoi_hydraulic_postprocess/raw_two_tap_test_section_complex.csv
recirc_feature:hybrid_lane:salt2_lo5q:upcomer_inlet:left_lower_leg,salt2_lo5q,left_lower_leg,hybrid_lane_policy,hybrid_lane_support,,,,0.6177451405,0.5000044571,partial,missing,missing,partial,missing,not_admissible_missing_same_window_fields,diagnostic_or_future_extraction_queue,ordinary_Nu; ordinary_f_D; component_K,no,no,no,Nu_section_effective_upcomer_diagnostic,work_products/2026-07/2026-07-15/2026-07-15_pm5_wall_band_vtk_and_f6_unlock_repair/resampled_pm5_matched_plane_metrics.csv
recirc_feature:hybrid_lane:salt2_lo5q:upcomer_mid:test_section_span,salt2_lo5q,test_section_span,hybrid_lane_policy,hybrid_lane_support,,,,0.3692928784,0.5000060995,partial,missing,missing,partial,missing,not_admissible_missing_same_window_fields,diagnostic_or_future_extraction_queue,ordinary_Nu; ordinary_f_D; component_K,no,no,no,Nu_section_effective_upcomer_diagnostic,work_products/2026-07/2026-07-15/2026-07-15_pm5_wall_band_vtk_and_f6_unlock_repair/resampled_pm5_matched_plane_metrics.csv
recirc_feature:hybrid_lane:salt2_lo5q:upcomer_outlet:left_upper_leg,salt2_lo5q,left_upper_leg,hybrid_lane_policy,hybrid_lane_support,,,,0.7901396438,0.5000621677,partial,missing,missing,partial,missing,not_admissible_missing_same_window_fields,diagnostic_or_future_extraction_queue,ordinary_Nu; ordinary_f_D; component_K,no,no,no,Nu_section_effective_upcomer_diagnostic,work_products/2026-07/2026-07-15/2026-07-15_pm5_wall_band_vtk_and_f6_unlock_repair/resampled_pm5_matched_plane_metrics.csv
recirc_feature:hybrid_lane:salt2_hi5q:upcomer_inlet:left_lower_leg,salt2_hi5q,left_lower_leg,hybrid_lane_policy,hybrid_lane_support,,,,0.6096763649,0.4999936722,partial,missing,missing,partial,missing,not_admissible_missing_same_window_fields,diagnostic_or_future_extraction_queue,ordinary_Nu; ordinary_f_D; component_K,no,no,no,Nu_section_effective_upcomer_diagnostic,work_products/2026-07/2026-07-15/2026-07-15_pm5_wall_band_vtk_and_f6_unlock_repair/resampled_pm5_matched_plane_metrics.csv
recirc_feature:hybrid_lane:salt2_hi5q:upcomer_mid:test_section_span,salt2_hi5q,test_section_span,hybrid_lane_policy,hybrid_lane_support,,,,0.3748113482,0.4999916556,partial,missing,missing,partial,missing,not_admissible_missing_same_window_fields,diagnostic_or_future_extraction_queue,ordinary_Nu; ordinary_f_D; component_K,no,no,no,Nu_section_effective_upcomer_diagnostic,work_products/2026-07/2026-07-15/2026-07-15_pm5_wall_band_vtk_and_f6_unlock_repair/resampled_pm5_matched_plane_metrics.csv
recirc_feature:hybrid_lane:salt2_hi5q:upcomer_outlet:left_upper_leg,salt2_hi5q,left_upper_leg,hybrid_lane_policy,hybrid_lane_support,,,,0.785845516,0.5000672828,partial,missing,missing,partial,missing,not_admissible_missing_same_window_fields,diagnostic_or_future_extraction_queue,ordinary_Nu; ordinary_f_D; component_K,no,no,no,Nu_section_effective_upcomer_diagnostic,work_products/2026-07/2026-07-15/2026-07-15_pm5_wall_band_vtk_and_f6_unlock_repair/resampled_pm5_matched_plane_metrics.csv
recirc_feature:hybrid_lane:salt4_lo5q:upcomer_inlet:left_lower_leg,salt4_lo5q,left_lower_leg,hybrid_lane_policy,hybrid_lane_support,,,,0.5466041262,0.5000026995,partial,missing,missing,partial,missing,not_admissible_missing_same_window_fields,diagnostic_or_future_extraction_queue,ordinary_Nu; ordinary_f_D; component_K,no,no,no,Nu_section_effective_upcomer_diagnostic,work_products/2026-07/2026-07-15/2026-07-15_pm5_wall_band_vtk_and_f6_unlock_repair/resampled_pm5_matched_plane_metrics.csv
recirc_feature:hybrid_lane:salt4_lo5q:upcomer_mid:test_section_span,salt4_lo5q,test_section_span,hybrid_lane_policy,hybrid_lane_support,,,,0.3764033442,0.4999969289,partial,missing,missing,partial,missing,not_admissible_missing_same_window_fields,diagnostic_or_future_extraction_queue,ordinary_Nu; ordinary_f_D; component_K,no,no,no,Nu_section_effective_upcomer_diagnostic,work_products/2026-07/2026-07-15/2026-07-15_pm5_wall_band_vtk_and_f6_unlock_repair/resampled_pm5_matched_plane_metrics.csv
recirc_feature:hybrid_lane:salt4_lo5q:upcomer_outlet:left_upper_leg,salt4_lo5q,left_upper_leg,hybrid_lane_policy,hybrid_lane_support,,,,0.7765350946,0.5000757768,partial,missing,missing,partial,missing,not_admissible_missing_same_window_fields,diagnostic_or_future_extraction_queue,ordinary_Nu; ordinary_f_D; component_K,no,no,no,Nu_section_effective_upcomer_diagnostic,work_products/2026-07/2026-07-15/2026-07-15_pm5_wall_band_vtk_and_f6_unlock_repair/resampled_pm5_matched_plane_metrics.csv
recirc_feature:hybrid_lane:salt4_hi5q:upcomer_inlet:left_lower_leg,salt4_hi5q,left_lower_leg,hybrid_lane_policy,hybrid_lane_support,,,,0.5228637749,0.4999749795,partial,missing,missing,partial,missing,not_admissible_missing_same_window_fields,diagnostic_or_future_extraction_queue,ordinary_Nu; ordinary_f_D; component_K,no,no,no,Nu_section_effective_upcomer_diagnostic,work_products/2026-07/2026-07-15/2026-07-15_pm5_wall_band_vtk_and_f6_unlock_repair/resampled_pm5_matched_plane_metrics.csv
recirc_feature:hybrid_lane:salt4_hi5q:upcomer_mid:test_section_span,salt4_hi5q,test_section_span,hybrid_lane_policy,hybrid_lane_support,,,,0.3778960681,0.4999891842,partial,missing,missing,partial,missing,not_admissible_missing_same_window_fields,diagnostic_or_future_extraction_queue,ordinary_Nu; ordinary_f_D; component_K,no,no,no,Nu_section_effective_upcomer_diagnostic,work_products/2026-07/2026-07-15/2026-07-15_pm5_wall_band_vtk_and_f6_unlock_repair/resampled_pm5_matched_plane_metrics.csv
recirc_feature:hybrid_lane:salt4_hi5q:upcomer_outlet:left_upper_leg,salt4_hi5q,left_upper_leg,hybrid_lane_policy,hybrid_lane_support,,,,0.7762644,0.5001364439,partial,missing,missing,partial,missing,not_admissible_missing_same_window_fields,diagnostic_or_future_extraction_queue,ordinary_Nu; ordinary_f_D; component_K,no,no,no,Nu_section_effective_upcomer_diagnostic,work_products/2026-07/2026-07-15/2026-07-15_pm5_wall_band_vtk_and_f6_unlock_repair/resampled_pm5_matched_plane_metrics.csv
high_heat_queue:salt4_jin_q0500w_no_recirc_probe,salt4_jin_q0500w_no_recirc_probe,upcomer,high_heat_no_recirc_probe_queue,,,,,,,missing,missing,missing,missing,missing,not_admissible_missing_same_window_fields,diagnostic_or_future_extraction_queue,ordinary_Nu; ordinary_f_D; component_K,no,no,no,high-heat/no-recirculation probe is queued or not harvested in current evidence,work_products/2026-07/2026-07-17/2026-07-17_high_heat_harvest_readiness_and_live_monitor/harvest_readiness_queue.csv
high_heat_queue:salt4_jin_q1000w_no_recirc_probe,salt4_jin_q1000w_no_recirc_probe,upcomer,high_heat_no_recirc_probe_queue,,,,,,,missing,missing,missing,missing,missing,not_admissible_missing_same_window_fields,diagnostic_or_future_extraction_queue,ordinary_Nu; ordinary_f_D; component_K,no,no,no,high-heat/no-recirculation probe is queued or not harvested in current evidence,work_products/2026-07/2026-07-17/2026-07-17_high_heat_harvest_readiness_and_live_monitor/harvest_readiness_queue.csv
high_heat_queue:salt4_jin_q3x_no_recirc_probe,salt4_jin_q3x_no_recirc_probe,upcomer,high_heat_no_recirc_probe_queue,,,,,,,missing,missing,missing,missing,missing,not_admissible_missing_same_window_fields,diagnostic_or_future_extraction_queue,ordinary_Nu; ordinary_f_D; component_K,no,no,no,high-heat/no-recirculation probe is queued or not harvested in current evidence,work_products/2026-07/2026-07-17/2026-07-17_high_heat_harvest_readiness_and_live_monitor/harvest_readiness_queue.csv
high_heat_queue:salt4_jin_q1500w_no_recirc_probe,salt4_jin_q1500w_no_recirc_probe,upcomer,high_heat_no_recirc_probe_queue,,,,,,,missing,missing,missing,missing,missing,not_admissible_missing_same_window_fields,diagnostic_or_future_extraction_queue,ordinary_Nu; ordinary_f_D; component_K,no,no,no,high-heat/no-recirculation probe is queued or not harvested in current evidence,work_products/2026-07/2026-07-17/2026-07-17_high_heat_harvest_readiness_and_live_monitor/harvest_readiness_queue.csv
