path,category,kind,purpose,typical_inputs,typical_outputs,safe_example,when_to_use,when_not_to_use,safety
tools/analyze/build_fluid_external_bc_dict.py,analysis and package builders,python,"Build the repo-local Fluid external-boundary dictionary contract package. This implements the local contract and validation artifacts for TODO-FLUID-EXTERNAL-BC-DICT. It does not edit external Fluid source, launch sol...",existing work_products/reports/imports plus task-specific CSV/JSON inputs,"task-scoped work_products package, CSV/JSON tables, README, figures",python3.11 tools/analyze/build_fluid_external_bc_dict.py --help,Use to regenerate the matching report/work-product package from cited inputs.,"Do not use to fit, tune, score, or admit beyond the builder package's documented gate.",normally safe to inspect; run only after checking arguments and task scope
tools/analyze/build_fluid_reduced_dof_bias_transfer_screen.py,analysis and package builders,python,"Build a reduced-DOF empirical bias/correction transfer screen. This is a frozen-coefficient diagnostic screen, not a Fluid solve or model admission. Coefficients are fit on Salt1/Salt2 TSWFC2 nominal sensor rows only...",existing work_products/reports/imports plus task-specific CSV/JSON inputs,"task-scoped work_products package, CSV/JSON tables, README, figures",python3.11 tools/analyze/build_fluid_reduced_dof_bias_transfer_screen.py --help,Use to regenerate the matching report/work-product package from cited inputs.,"Do not use to fit, tune, score, or admit beyond the builder package's documented gate.",normally safe to inspect; run only after checking arguments and task scope
tools/analyze/build_fluid_setup_known_heater_source_train_residual_decomp.py,analysis and package builders,python,Run train-only residual decomposition for setup-known heater redistribution.,existing work_products/reports/imports plus task-specific CSV/JSON inputs,"task-scoped work_products package, CSV/JSON tables, README, figures",python3.11 tools/analyze/build_fluid_setup_known_heater_source_train_residual_decomp.py --help,Use to regenerate the matching report/work-product package from cited inputs.,"Do not use to fit, tune, score, or admit beyond the builder package's documented gate.",normally safe to inspect; run only after checking arguments and task scope
tools/analyze/build_fluid_setup_known_source_sink_runtime_contract.py,analysis and package builders,python,"Build the setup-known source/sink runtime contract package. This is a gate package, not an admission package. It records that the existing Fluid solver can express the lower-leg heater redistribution from setup-known...",existing work_products/reports/imports plus task-specific CSV/JSON inputs,"task-scoped work_products package, CSV/JSON tables, README, figures",python3.11 tools/analyze/build_fluid_setup_known_source_sink_runtime_contract.py --help,Use to regenerate the matching report/work-product package from cited inputs.,"Do not use to fit, tune, score, or admit beyond the builder package's documented gate.",normally safe to inspect; run only after checking arguments and task scope
tools/analyze/build_fluid_temperature_periodicity_bracket_repair.py,analysis and package builders,python,Audit finite rejected temperature-periodicity roots before a Fluid patch. This package keeps the accepted-root gate strict. It replays the thermal periodicity residual at the fixed UMX1 smoke mdot and expands only the...,existing work_products/reports/imports plus task-specific CSV/JSON inputs,"task-scoped work_products package, CSV/JSON tables, README, figures",python3.11 tools/analyze/build_fluid_temperature_periodicity_bracket_repair.py --help,Use to regenerate the matching report/work-product package from cited inputs.,"Do not use to fit, tune, score, or admit beyond the builder package's documented gate.",normally safe to inspect; run only after checking arguments and task scope
tools/analyze/build_fluid_walls_readiness_ledger.py,analysis and package builders,python,Build the steady-state fluid+walls segment readiness ledger.,existing work_products/reports/imports plus task-specific CSV/JSON inputs,"task-scoped work_products package, CSV/JSON tables, README, figures",python3.11 tools/analyze/build_fluid_walls_readiness_ledger.py --help,Use to regenerate the matching report/work-product package from cited inputs.,"Do not use to fit, tune, score, or admit beyond the builder package's documented gate.",normally safe to inspect; run only after checking arguments and task scope
tools/analyze/build_forward_model_readiness_after_h1_proxy.py,analysis and package builders,python,"Build the forward-model readiness note after H1 proxy evidence. This is an evidence integrator, not a fitted model. It records what is now admitted for forward-model scoring, what remains diagnostic, and why the curre...",existing work_products/reports/imports plus task-specific CSV/JSON inputs,"task-scoped work_products package, CSV/JSON tables, README, figures",python3.11 tools/analyze/build_forward_model_readiness_after_h1_proxy.py --help,Use to regenerate the matching report/work-product package from cited inputs.,"Do not use to fit, tune, score, or admit beyond the builder package's documented gate.",normally safe to inspect; run only after checking arguments and task scope
tools/analyze/build_forward_v1_blocker_documentation_audit.py,analysis and package builders,python,Build a documentation sufficiency audit for forward-v1 blocker reasons.,existing work_products/reports/imports plus task-specific CSV/JSON inputs,"task-scoped work_products package, CSV/JSON tables, README, figures",python3.11 tools/analyze/build_forward_v1_blocker_documentation_audit.py --help,Use to regenerate the matching report/work-product package from cited inputs.,"Do not use to fit, tune, score, or admit beyond the builder package's documented gate.",normally safe to inspect; run only after checking arguments and task scope
tools/analyze/build_forward_v1_gate_refresh_after_fluid_api_and_audits.py,analysis and package builders,python,Refresh the forward-v1 gate state after Fluid API and audit evidence.,existing work_products/reports/imports plus task-specific CSV/JSON inputs,"task-scoped work_products package, CSV/JSON tables, README, figures",python3.11 tools/analyze/build_forward_v1_gate_refresh_after_fluid_api_and_audits.py --help,Use to regenerate the matching report/work-product package from cited inputs.,"Do not use to fit, tune, score, or admit beyond the builder package's documented gate.",normally safe to inspect; run only after checking arguments and task scope
tools/analyze/build_forward_v1_hydraulic_unblock_plan_execution.py,analysis and package builders,python,Build the July 15 forward-v1/hydraulic unblock execution package.,existing work_products/reports/imports plus task-specific CSV/JSON inputs,"task-scoped work_products package, CSV/JSON tables, README, figures",python3.11 tools/analyze/build_forward_v1_hydraulic_unblock_plan_execution.py --help,Use to regenerate the matching report/work-product package from cited inputs.,"Do not use to fit, tune, score, or admit beyond the builder package's documented gate.",normally safe to inspect; run only after checking arguments and task scope
tools/analyze/build_forward_v1_next_step_execution_from_overnight.py,analysis and package builders,python,"Build the July 15 forward-v1 next-step execution package. This is a read-only intake/triage builder. It consumes already-created work products and Slurm accounting state, then writes a forward-v1 action package. It do...",existing work_products/reports/imports plus task-specific CSV/JSON inputs,"task-scoped work_products package, CSV/JSON tables, README, figures",python3.11 tools/analyze/build_forward_v1_next_step_execution_from_overnight.py --help,Use to regenerate the matching report/work-product package from cited inputs.,"Do not use to fit, tune, score, or admit beyond the builder package's documented gate.",normally safe to inspect; run only after checking arguments and task scope
tools/analyze/build_forward_v1_plan_implementation_closeout.py,analysis and package builders,python,"Build AGENT-403 forward-v1 execution closeout. This package answers ""run everything that needs to be run"" for the currently unblocked forward-v1 work. It records local verification commands, already-run artifacts, and...",existing work_products/reports/imports plus task-specific CSV/JSON inputs,"task-scoped work_products package, CSV/JSON tables, README, figures",python3.11 tools/analyze/build_forward_v1_plan_implementation_closeout.py --help,Use to regenerate the matching report/work-product package from cited inputs.,"Do not use to fit, tune, score, or admit beyond the builder package's documented gate.",normally safe to inspect; run only after checking arguments and task scope
tools/analyze/build_forward_v1_pm5_hydraulic_delta.py,analysis and package builders,python,Integrate completed +/-5Q and hydraulic tap-refresh evidence for forward-v1.,existing work_products/reports/imports plus task-specific CSV/JSON inputs,"task-scoped work_products package, CSV/JSON tables, README, figures",python3.11 tools/analyze/build_forward_v1_pm5_hydraulic_delta.py --help,Use to regenerate the matching report/work-product package from cited inputs.,"Do not use to fit, tune, score, or admit beyond the builder package's documented gate.",normally safe to inspect; run only after checking arguments and task scope
tools/analyze/build_forward_v1_row_admission_ledger.py,analysis and package builders,python,"Build the AGENT-407 forward-v1 row-admission ledger. The ledger is a guardrail artifact: it separates setup-legal predictive candidate rows from diagnostic replays, diagnostic upper bounds, and blocked fit families. I...",existing work_products/reports/imports plus task-specific CSV/JSON inputs,"task-scoped work_products package, CSV/JSON tables, README, figures",python3.11 tools/analyze/build_forward_v1_row_admission_ledger.py --help,Use to regenerate the matching report/work-product package from cited inputs.,"Do not use to fit, tune, score, or admit beyond the builder package's documented gate.",normally safe to inspect; run only after checking arguments and task scope
tools/analyze/build_four_study_thesis_support_gate.py,analysis and package builders,python,"Build the four-study thesis-support gate package from existing artifacts. This is a coordinator reducer only. It consumes completed packages read-only and does not launch solvers, harvests, UQ, fitting, admission, or...",existing work_products/reports/imports plus task-specific CSV/JSON inputs,"task-scoped work_products package, CSV/JSON tables, README, figures",python3.11 tools/analyze/build_four_study_thesis_support_gate.py --help,Use to regenerate the matching report/work-product package from cited inputs.,"Do not use to fit, tune, score, or admit beyond the builder package's documented gate.",normally safe to inspect; run only after checking arguments and task scope
tools/analyze/build_h1_faithful_gap_and_f6_decision.py,analysis and package builders,python,Build the H1 faithful-implementation gap and F6 candidate decision package.,existing work_products/reports/imports plus task-specific CSV/JSON inputs,"task-scoped work_products package, CSV/JSON tables, README, figures",python3.11 tools/analyze/build_h1_faithful_gap_and_f6_decision.py --help,Use to regenerate the matching report/work-product package from cited inputs.,"Do not use to fit, tune, score, or admit beyond the builder package's documented gate.",normally safe to inspect; run only after checking arguments and task scope
tools/analyze/build_heat_source_sink_ledger.py,analysis and package builders,python,"Build a per-segment patchwise heat source/sink ledger for Salt 2/3/4 Jin mainline continuations (AGENT-194, 2026-07-07). Reads the OpenFOAM wallHeatFlux postProcessing FO output (area-integrated Q per patch per time s...",existing work_products/reports/imports plus task-specific CSV/JSON inputs,"task-scoped work_products package, CSV/JSON tables, README, figures",python3.11 tools/analyze/build_heat_source_sink_ledger.py --help,Use to regenerate the matching report/work-product package from cited inputs.,"Do not use to fit, tune, score, or admit beyond the builder package's documented gate.",normally safe to inspect; run only after checking arguments and task scope
tools/analyze/build_heater_fraction_forward_v1_paper_methods.py,analysis and package builders,python,Build a split-aware heater/source-contract and paper-methods package. This package consumes existing forward-v0/heater-contract evidence. It does not rerun Fluid and does not read or mutate native CFD solver outputs.,existing work_products/reports/imports plus task-specific CSV/JSON inputs,"task-scoped work_products package, CSV/JSON tables, README, figures",python3.11 tools/analyze/build_heater_fraction_forward_v1_paper_methods.py --help,Use to regenerate the matching report/work-product package from cited inputs.,"Do not use to fit, tune, score, or admit beyond the builder package's documented gate.",normally safe to inspect; run only after checking arguments and task scope
tools/analyze/build_heater_lower_leg_source_sign_gci_admission.py,analysis and package builders,python,Build AGENT-468 heater lower-leg source/sign/GCI admission package. This pass uses existing AGENT-459/466 evidence only. It narrows the `closure-qoi-mesh-gci` blocker around the heater lower leg by separating source o...,existing work_products/reports/imports plus task-specific CSV/JSON inputs,"task-scoped work_products package, CSV/JSON tables, README, figures",python3.11 tools/analyze/build_heater_lower_leg_source_sign_gci_admission.py --help,Use to regenerate the matching report/work-product package from cited inputs.,"Do not use to fit, tune, score, or admit beyond the builder package's documented gate.",normally safe to inspect; run only after checking arguments and task scope
tools/analyze/build_heater_source_leave_salt3_out_score.py,analysis and package builders,python,Build AGENT-529 leave-Salt3-out heater-source redistribution score package.,existing work_products/reports/imports plus task-specific CSV/JSON inputs,"task-scoped work_products package, CSV/JSON tables, README, figures",python3.11 tools/analyze/build_heater_source_leave_salt3_out_score.py --help,Use to regenerate the matching report/work-product package from cited inputs.,"Do not use to fit, tune, score, or admit beyond the builder package's documented gate.",normally safe to inspect; run only after checking arguments and task scope
tools/analyze/build_heater_source_redistribution_coupled_score.py,analysis and package builders,python,Build AGENT-511 heater-source redistribution coupled score package.,existing work_products/reports/imports plus task-specific CSV/JSON inputs,"task-scoped work_products package, CSV/JSON tables, README, figures",python3.11 tools/analyze/build_heater_source_redistribution_coupled_score.py --help,Use to regenerate the matching report/work-product package from cited inputs.,"Do not use to fit, tune, score, or admit beyond the builder package's documented gate.",normally safe to inspect; run only after checking arguments and task scope
tools/analyze/build_heater_source_split_screen.py,analysis and package builders,python,"Build the BCM-HEATER-FRACTION-V1 locked-split source screen. This is a repo-local synthesis of the existing heater/test-section source contract. It does not rerun Fluid and does not consume realized CFD wallHeatFlux,...",existing work_products/reports/imports plus task-specific CSV/JSON inputs,"task-scoped work_products package, CSV/JSON tables, README, figures",python3.11 tools/analyze/build_heater_source_split_screen.py --help,Use to regenerate the matching report/work-product package from cited inputs.,"Do not use to fit, tune, score, or admit beyond the builder package's documented gate.",normally safe to inspect; run only after checking arguments and task scope
tools/analyze/build_heater_test_section_contract.py,analysis and package builders,python,"Build a heater/test-section source contract from existing forward-v0 evidence. This is a synthesis package, not a new Fluid solve. It compares the current 37 W test-section source assumption with heater-only and low-d...",existing work_products/reports/imports plus task-specific CSV/JSON inputs,test pass/fail result; may create temporary files,python3.11 tools/analyze/build_heater_test_section_contract.py --help,Use to regenerate the matching report/work-product package from cited inputs.,"Do not use to fit, tune, score, or admit beyond the builder package's documented gate.",local/lightweight test; usually read-only except temporary outputs
tools/analyze/build_heatloss_phase1_external_bc_radiation_integration.py,analysis and package builders,python,Build the Phase 1 external-boundary/radiation integration package. This is a repo-local contract builder. It consumes existing audited boundary tables and emits setup-only schema/audit artifacts. It does not edit Flui...,existing work_products/reports/imports plus task-specific CSV/JSON inputs,"task-scoped work_products package, CSV/JSON tables, README, figures",python3.11 tools/analyze/build_heatloss_phase1_external_bc_radiation_integration.py --help,Use to regenerate the matching report/work-product package from cited inputs.,"Do not use to fit, tune, score, or admit beyond the builder package's documented gate.",normally safe to inspect; run only after checking arguments and task scope
tools/analyze/build_heatloss_phase2_split_heat_loss_evidence.py,analysis and package builders,python,"Build Phase 2 split heat-loss evidence from existing ledgers. This builder only consumes prior repo artifacts. It does not read or mutate native solver outputs, launch extraction, fit coefficients, or admit models.",existing work_products/reports/imports plus task-specific CSV/JSON inputs,"task-scoped work_products package, CSV/JSON tables, README, figures",python3.11 tools/analyze/build_heatloss_phase2_split_heat_loss_evidence.py --help,Use to regenerate the matching report/work-product package from cited inputs.,"Do not use to fit, tune, score, or admit beyond the builder package's documented gate.",normally safe to inspect; run only after checking arguments and task scope
tools/analyze/build_heatloss_phase3_wall_test_section_model_score.py,analysis and package builders,python,"Build Phase 3 wall/test-section model-score gate artifacts. This builder aggregates existing Phase 1/2 evidence and prior wall/test-section candidate scorecards. It does not launch Fluid/OpenFOAM, fit coefficients, mu...",existing work_products/reports/imports plus task-specific CSV/JSON inputs,test pass/fail result; may create temporary files,python3.11 tools/analyze/build_heatloss_phase3_wall_test_section_model_score.py --help,Use to regenerate the matching report/work-product package from cited inputs.,"Do not use to fit, tune, score, or admit beyond the builder package's documented gate.",local/lightweight test; usually read-only except temporary outputs
tools/analyze/build_heatloss_phase4_upcomer_exchange_and_internal_nu_gate.py,analysis and package builders,python,"Build Phase 4 upcomer exchange/internal-Nu gate artifacts. This builder consumes existing repo evidence only. It does not read or mutate native solver outputs, launch extraction, fit coefficients, select models, or ch...",existing work_products/reports/imports plus task-specific CSV/JSON inputs,"task-scoped work_products package, CSV/JSON tables, README, figures",python3.11 tools/analyze/build_heatloss_phase4_upcomer_exchange_and_internal_nu_gate.py --help,Use to regenerate the matching report/work-product package from cited inputs.,"Do not use to fit, tune, score, or admit beyond the builder package's documented gate.",normally safe to inspect; run only after checking arguments and task scope
tools/analyze/build_heatloss_phase5_frozen_scorecard_and_thesis_handoff.py,analysis and package builders,python,"Build Phase 5 negative heat-loss freeze and thesis handoff artifacts. This package freezes the current non-admission state. It does not run a final predictive score, fit or select models, or edit thesis prose.",existing work_products/reports/imports plus task-specific CSV/JSON inputs,"task-scoped work_products package, CSV/JSON tables, README, figures",python3.11 tools/analyze/build_heatloss_phase5_frozen_scorecard_and_thesis_handoff.py --help,Use to regenerate the matching report/work-product package from cited inputs.,"Do not use to fit, tune, score, or admit beyond the builder package's documented gate.",normally safe to inspect; run only after checking arguments and task scope
tools/analyze/build_heatloss_upcomer_exchange_evidence_extraction.py,analysis and package builders,python,"Build the heat-loss upcomer exchange evidence-extraction contract. This builder consumes existing work products only. It does not read native solver fields, write case directories, launch OpenFOAM/postprocessing, fit...",existing work_products/reports/imports plus task-specific CSV/JSON inputs,"task-scoped work_products package, CSV/JSON tables, README, figures",python3.11 tools/analyze/build_heatloss_upcomer_exchange_evidence_extraction.py --help,Use to regenerate the matching report/work-product package from cited inputs.,"Do not use to fit, tune, score, or admit beyond the builder package's documented gate.",normally safe to inspect; run only after checking arguments and task scope
tools/analyze/build_heatloss_upcomer_sampler_design.py,analysis and package builders,python,"Build a design-only contract for the heat-loss upcomer sampler. This package defines the next sampler implementation target without editing ``tools/extract`` and without launching OpenFOAM, postprocessing, or a sampler.",existing work_products/reports/imports plus task-specific CSV/JSON inputs,"task-scoped work_products package, CSV/JSON tables, README, figures",python3.11 tools/analyze/build_heatloss_upcomer_sampler_design.py --help,Use to regenerate the matching report/work-product package from cited inputs.,"Do not use to fit, tune, score, or admit beyond the builder package's documented gate.",normally safe to inspect; run only after checking arguments and task scope
tools/analyze/build_heatloss_upcomer_source_field_audit.py,analysis and package builders,python,"Audit source-field availability for upcomer exchange extraction. This is a lightweight filesystem/source audit. It does not read large native field contents, write case directories, run OpenFOAM, launch a sampler, sub...",existing work_products/reports/imports plus task-specific CSV/JSON inputs,"task-scoped work_products package, CSV/JSON tables, README, figures",python3.11 tools/analyze/build_heatloss_upcomer_source_field_audit.py --help,Use to regenerate the matching report/work-product package from cited inputs.,"Do not use to fit, tune, score, or admit beyond the builder package's documented gate.",normally safe to inspect; run only after checking arguments and task scope
tools/analyze/build_high_heat_harvest_readiness_and_live_monitor.py,analysis and package builders,python,high heat harvest readiness and live monitor,existing work_products/reports/imports plus task-specific CSV/JSON inputs,"task-scoped work_products package, CSV/JSON tables, README, figures",python3.11 tools/analyze/build_high_heat_harvest_readiness_and_live_monitor.py --help,Use to regenerate the matching report/work-product package from cited inputs.,"Do not use to fit, tune, score, or admit beyond the builder package's documented gate.",normally safe to inspect; run only after checking arguments and task scope
tools/analyze/build_high_heat_status_refresh_2026_07_20.py,analysis and package builders,python,Refresh high-heat running job status while preserving diagnostic-only policy.,existing work_products/reports/imports plus task-specific CSV/JSON inputs,"task-scoped work_products package, CSV/JSON tables, README, figures",python3.11 tools/analyze/build_high_heat_status_refresh_2026_07_20.py --help,Use to regenerate the matching report/work-product package from cited inputs.,"Do not use to fit, tune, score, or admit beyond the builder package's documented gate.",normally safe to inspect; run only after checking arguments and task scope
tools/analyze/build_high_heat_terminal_watch_two_tap_update.py,analysis and package builders,python,Refresh high-heat terminal watch and two-tap CAND-001 readiness.,existing work_products/reports/imports plus task-specific CSV/JSON inputs,"task-scoped work_products package, CSV/JSON tables, README, figures",python3.11 tools/analyze/build_high_heat_terminal_watch_two_tap_update.py --help,Use to regenerate the matching report/work-product package from cited inputs.,"Do not use to fit, tune, score, or admit beyond the builder package's documented gate.",normally safe to inspect; run only after checking arguments and task scope
tools/analyze/build_hybrid_pressure_no_fit_performance_bakeoff.py,analysis and package builders,python,Build a no-fit bakeoff for the section-effective hybrid pressure route.,existing work_products/reports/imports plus task-specific CSV/JSON inputs,"task-scoped work_products package, CSV/JSON tables, README, figures",python3.11 tools/analyze/build_hybrid_pressure_no_fit_performance_bakeoff.py --help,Use to regenerate the matching report/work-product package from cited inputs.,"Do not use to fit, tune, score, or admit beyond the builder package's documented gate.",normally safe to inspect; run only after checking arguments and task scope
tools/analyze/build_hydraulic_closure_rigor_audit.py,analysis and package builders,python,Build an integrated hydraulic closure rigor audit for admitted Salt Jin cases. This package is a read-only synthesis of existing CFD reductions. It does not rerun OpenFOAM or mutate prior July 8 ledgers. Where existin...,existing work_products/reports/imports plus task-specific CSV/JSON inputs,"task-scoped work_products package, CSV/JSON tables, README, figures",python3.11 tools/analyze/build_hydraulic_closure_rigor_audit.py --help,Use to regenerate the matching report/work-product package from cited inputs.,"Do not use to fit, tune, score, or admit beyond the builder package's documented gate.",normally safe to inspect; run only after checking arguments and task scope
tools/analyze/build_hydraulic_reset_k_admission_contract.py,analysis and package builders,python,Build hydraulic reset/K admission contract tables from existing evidence.,existing work_products/reports/imports plus task-specific CSV/JSON inputs,"task-scoped work_products package, CSV/JSON tables, README, figures",python3.11 tools/analyze/build_hydraulic_reset_k_admission_contract.py --help,Use to regenerate the matching report/work-product package from cited inputs.,"Do not use to fit, tune, score, or admit beyond the builder package's documented gate.",normally safe to inspect; run only after checking arguments and task scope
tools/analyze/build_hydraulic_tap_length_admission_refresh.py,analysis and package builders,python,Refresh hydraulic two-tap K admission with mesh-centerline tap lengths.,existing work_products/reports/imports plus task-specific CSV/JSON inputs,"task-scoped work_products package, CSV/JSON tables, README, figures",python3.11 tools/analyze/build_hydraulic_tap_length_admission_refresh.py --help,Use to regenerate the matching report/work-product package from cited inputs.,"Do not use to fit, tune, score, or admit beyond the builder package's documented gate.",normally safe to inspect; run only after checking arguments and task scope
tools/analyze/build_incremental_model_form_comparison.py,analysis and package builders,python,Build an incremental 1D model-form comparison from existing CFD/ROM outputs. This package answers two immediate questions without running new OpenFOAM: * How do currently evaluated 1D model forms perform when arranged...,existing work_products/reports/imports plus task-specific CSV/JSON inputs,"task-scoped work_products package, CSV/JSON tables, README, figures",python3.11 tools/analyze/build_incremental_model_form_comparison.py --help,Use to regenerate the matching report/work-product package from cited inputs.,"Do not use to fit, tune, score, or admit beyond the builder package's documented gate.",normally safe to inspect; run only after checking arguments and task scope
tools/analyze/build_integrated_powerpoint_figures_and_definitions.py,analysis and package builders,python,Build advisor-facing figures and definitions for the 2026-07-15 deck.,existing work_products/reports/imports plus task-specific CSV/JSON inputs,"task-scoped work_products package, CSV/JSON tables, README, figures",python3.11 tools/analyze/build_integrated_powerpoint_figures_and_definitions.py --help,Use to regenerate the matching report/work-product package from cited inputs.,"Do not use to fit, tune, score, or admit beyond the builder package's documented gate.",normally safe to inspect; run only after checking arguments and task scope
tools/analyze/build_internal_nu_blocker_progress_integration.py,analysis and package builders,python,Build the internal-Nu blocker/progress integration package.,existing work_products/reports/imports plus task-specific CSV/JSON inputs,"task-scoped work_products package, CSV/JSON tables, README, figures",python3.11 tools/analyze/build_internal_nu_blocker_progress_integration.py --help,Use to regenerate the matching report/work-product package from cited inputs.,"Do not use to fit, tune, score, or admit beyond the builder package's documented gate.",normally safe to inspect; run only after checking arguments and task scope
tools/analyze/build_junction_split_heat_ledger_and_model_gate.py,analysis and package builders,python,Build a junction-split heat ledger and model-update gate from existing evidence.,existing work_products/reports/imports plus task-specific CSV/JSON inputs,"task-scoped work_products package, CSV/JSON tables, README, figures",python3.11 tools/analyze/build_junction_split_heat_ledger_and_model_gate.py --help,Use to regenerate the matching report/work-product package from cited inputs.,"Do not use to fit, tune, score, or admit beyond the builder package's documented gate.",normally safe to inspect; run only after checking arguments and task scope
tools/analyze/build_lead_closure_qoi_hydraulic_postprocess.py,analysis and package builders,python,"Build AGENT-409 closure-QOI, hydraulic, and scratch postprocess artifacts.",existing work_products/reports/imports plus task-specific CSV/JSON inputs,"task-scoped work_products package, CSV/JSON tables, README, figures",python3.11 tools/analyze/build_lead_closure_qoi_hydraulic_postprocess.py --help,Use to regenerate the matching report/work-product package from cited inputs.,"Do not use to fit, tune, score, or admit beyond the builder package's documented gate.",normally safe to inspect; run only after checking arguments and task scope
tools/analyze/build_litrev_cfd_validity_diagnostics.py,analysis and package builders,python,Build CFD single-stream validity diagnostics for closure coefficient naming.,existing work_products/reports/imports plus task-specific CSV/JSON inputs,"task-scoped work_products package, CSV/JSON tables, README, figures",python3.11 tools/analyze/build_litrev_cfd_validity_diagnostics.py --help,Use to regenerate the matching report/work-product package from cited inputs.,"Do not use to fit, tune, score, or admit beyond the builder package's documented gate.",normally safe to inspect; run only after checking arguments and task scope
tools/analyze/build_litrev_gate_carryforward_ledger.py,analysis and package builders,python,Build AGENT-521 LitRev gate carryforward ledger.,existing work_products/reports/imports plus task-specific CSV/JSON inputs,"task-scoped work_products package, CSV/JSON tables, README, figures",python3.11 tools/analyze/build_litrev_gate_carryforward_ledger.py --help,Use to regenerate the matching report/work-product package from cited inputs.,"Do not use to fit, tune, score, or admit beyond the builder package's documented gate.",normally safe to inspect; run only after checking arguments and task scope
tools/analyze/build_litrev_heat_loss_calibration.py,analysis and package builders,python,Build a separated heat-loss calibration ledger from existing artifacts.,existing work_products/reports/imports plus task-specific CSV/JSON inputs,"task-scoped work_products package, CSV/JSON tables, README, figures",python3.11 tools/analyze/build_litrev_heat_loss_calibration.py --help,Use to regenerate the matching report/work-product package from cited inputs.,"Do not use to fit, tune, score, or admit beyond the builder package's documented gate.",normally safe to inspect; run only after checking arguments and task scope
tools/analyze/build_litrev_property_sensitivity.py,analysis and package builders,python,Build property-mode sensitivity tables for lit-review closure gating.,existing work_products/reports/imports plus task-specific CSV/JSON inputs,"task-scoped work_products package, CSV/JSON tables, README, figures",python3.11 tools/analyze/build_litrev_property_sensitivity.py --help,Use to regenerate the matching report/work-product package from cited inputs.,"Do not use to fit, tune, score, or admit beyond the builder package's documented gate.",normally safe to inspect; run only after checking arguments and task scope
tools/analyze/build_litrev_reset_named_losses.py,analysis and package builders,python,Build reset-distance and named-loss tables for lit-review closure rigor.,existing work_products/reports/imports plus task-specific CSV/JSON inputs,"task-scoped work_products package, CSV/JSON tables, README, figures",python3.11 tools/analyze/build_litrev_reset_named_losses.py --help,Use to regenerate the matching report/work-product package from cited inputs.,"Do not use to fit, tune, score, or admit beyond the builder package's documented gate.",normally safe to inspect; run only after checking arguments and task scope
tools/analyze/build_litrev_source_envelope_table.py,analysis and package builders,python,Build the lit-review source-envelope gate for TAMU branches.,existing work_products/reports/imports plus task-specific CSV/JSON inputs,"task-scoped work_products package, CSV/JSON tables, README, figures",python3.11 tools/analyze/build_litrev_source_envelope_table.py --help,Use to regenerate the matching report/work-product package from cited inputs.,"Do not use to fit, tune, score, or admit beyond the builder package's documented gate.",normally safe to inspect; run only after checking arguments and task scope
tools/analyze/build_localized_fixed_k_forward_score.py,analysis and package builders,python,"Score Salt2/3/4 with Fluid localized fixed-K hydraulic losses. This package exercises the existing Fluid ``localized_fixed_k_by_segment`` hook. It is a gate-moving hydraulic score, not a final forward-v1 model: it sti...",existing work_products/reports/imports plus task-specific CSV/JSON inputs,"task-scoped work_products package, CSV/JSON tables, README, figures",python3.11 tools/analyze/build_localized_fixed_k_forward_score.py --help,Use to regenerate the matching report/work-product package from cited inputs.,"Do not use to fit, tune, score, or admit beyond the builder package's documented gate.",normally safe to inspect; run only after checking arguments and task scope
tools/analyze/build_m0_setup_only_baseline_prediction_scorecard.py,analysis and package builders,python,"Build the M0 setup-only baseline prediction scorecard shell. M0 is a lower-bound baseline. This task does not run Fluid, does not fit or select coefficients, and does not consume protected target values. If no runtime...",existing work_products/reports/imports plus task-specific CSV/JSON inputs,"task-scoped work_products package, CSV/JSON tables, README, figures",python3.11 tools/analyze/build_m0_setup_only_baseline_prediction_scorecard.py --help,Use to regenerate the matching report/work-product package from cited inputs.,"Do not use to fit, tune, score, or admit beyond the builder package's documented gate.",normally safe to inspect; run only after checking arguments and task scope
tools/analyze/build_m2_holdout_scoring_readiness.py,analysis and package builders,python,Build a readiness queue for future blind scoring with the M2 frozen artifact.,existing work_products/reports/imports plus task-specific CSV/JSON inputs,"task-scoped work_products package, CSV/JSON tables, README, figures",python3.11 tools/analyze/build_m2_holdout_scoring_readiness.py --help,Use to regenerate the matching report/work-product package from cited inputs.,"Do not use to fit, tune, score, or admit beyond the builder package's documented gate.",normally safe to inspect; run only after checking arguments and task scope
tools/analyze/build_m2_passive_wall_test_section_source_bounded_repair_gate.py,analysis and package builders,python,Build the M2 passive wall/test-section source-bounded repair gate.,existing work_products/reports/imports plus task-specific CSV/JSON inputs,test pass/fail result; may create temporary files,python3.11 tools/analyze/build_m2_passive_wall_test_section_source_bounded_repair_gate.py --help,Use to regenerate the matching report/work-product package from cited inputs.,"Do not use to fit, tune, score, or admit beyond the builder package's documented gate.",local/lightweight test; usually read-only except temporary outputs
tools/analyze/build_m2_salt1_cooler_hx_resolution_package.py,analysis and package builders,python,Resolve Salt1 cooler/HX support for M2 score readiness.,existing work_products/reports/imports plus task-specific CSV/JSON inputs,"task-scoped work_products package, CSV/JSON tables, README, figures",python3.11 tools/analyze/build_m2_salt1_cooler_hx_resolution_package.py --help,Use to regenerate the matching report/work-product package from cited inputs.,"Do not use to fit, tune, score, or admit beyond the builder package's documented gate.",normally safe to inspect; run only after checking arguments and task scope
